Members Expense Disclosure - January to March 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Party,Member,Accommodation,,Travel,,Grand Total,Inter-Parliamentary Office of the Clerk,,,,,,,,,,,,,,,,,,,,,,,
,,Wellington,Non Wellington,Air,Surface,,,,,,,,,,,,,,,,,,,,,,,,,
, O'Connor Simon ," 5,418 ", - ," 3,839 "," 4,210 "," 13,466 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Parata Hekia , - , - , - , - , - , -   ,,,,,,,,,,,,,,,,,,,,,,,
, Ross Jami-Lee ," 4,952 ", 139 ," 2,878 "," 1,641 "," 9,610 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Roy Eric ," 4,382 ", 139 ," 6,276 ", 629 ," 11,426 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Ryall Tony , - , - , 968 , - , 968 , -   ,,,,,,,,,,,,,,,,,,,,,,,
, Sabin Mike ," 5,603 ", 634 ," 5,784 "," 7,878 "," 19,899 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Shanks Katrina , - , - , 729 , - , 729 , -   ,,,,,,,,,,,,,,,,,,,,,,,
, Simpson Scott ," 3,261 ", 558 ," 4,235 "," 7,892 "," 15,946 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Smith Nick , - , - ," 2,116 ", 313 ," 2,429 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Tisch Lindsay ," 5,217 ", 250 ," 2,829 "," 4,378 "," 12,675 "," 9,718 ",,,,,,,,,,,,,,,,,,,,,,,
, Tolley Anne , - , - ," 2,422 ", - ," 2,422 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Tremain Chris ," 1,530 ", 242 ," 3,797 ", 816 ," 6,385 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Upston Louise ," 5,670 ", 524 ," 12,125 "," 8,771 "," 27,090 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Wagner Nicky ," 4,000 ", 296 ," 9,047 "," 1,815 "," 15,158 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Wilkinson Kate ," 1,948 ", - ," 3,158 "," 6,813 "," 11,919 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Williamson Maurice , - , - , 547 , - , 547 , -   ,,,,,,,,,,,,,,,,,,,,,,,
, Woodhouse Michael , - , - , 580 , 59 , 640 , -   ,,,,,,,,,,,,,,,,,,,,,,,
, Yang Jian ," 1,809 ", 665 ," 10,329 "," 3,640 "," 16,443 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Young Jonathan ," 6,000 ", 577 ," 7,094 "," 3,740 "," 17,410 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
National Total,," 154,217 "," 12,479 "," 213,096 "," 160,007 "," 539,798 "," 28,705 ",,,,,,,,,,,,,,,,,,,,,,,
New Zealand First,Martin Tracey," 3,757 ", 545 ," 2,795 "," 4,368 "," 11,465 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
,O'Rourke Denis," 5,603 ", 139 ," 4,190 "," 2,470 "," 12,403 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
,Peters Winston," 2,226 ", 399 ," 25,472 "," 4,283 "," 32,380 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
,Prosser Richard," 5,217 ", 157 ," 7,114 "," 3,020 "," 15,508 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
,Stewart Barbara," 3,061 ", - ," 3,785 "," 3,002 "," 9,848 ","9,943",,,,,,,,,,,,,,,,,,,,,,,
,Lole-Taylor Asenati," 4,565 ", 278 ," 7,108 "," 5,632 "," 17,583 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
,Williams Andrew," 2,087 "," 1,091 "," 3,168 "," 3,613 "," 9,959 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
New Zealand First Total,," 26,516 "," 2,609 "," 53,632 "," 26,388 "," 109,146 "," 9,943 ",,,,,,,,,,,,,,,,,,,,,,,
United Future, Dunne Peter , - , - ," 1,493 ", 721 ," 2,213 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
United Future Total,, - , - ," 1,493 ", 721 ," 2,213 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
Grand Total,," 359,756 "," 45,444 "," 658,438 "," 416,763 "," 1,480,401 ","84,195",,,,,,,,,,,,,,,,,,,,,,,
