Members Expense Disclosure - 1 April to 30 June 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Party,Member,Accommodation,,Travel,,Grand Total,Inter-Parliamentary Office of the Clerk,,,,,,,,,,,,,,,,,,,,,,,
,,Wellington,Non Wellington,Air,Surface,,,,,,,,,,,,,,,,,,,,,,,,,
, Simpson Scott ," 2,609 ", 139 ," 4,439 "," 10,143 "," 17,330 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Smith Nick , - , - ," 3,263 ", - ," 3,263 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Tisch Lindsay ," 4,348 ", 609 ," 4,216 "," 8,072 "," 17,245 ",255 ,,,,,,,,,,,,,,,,,,,,,,,
, Tolley Anne , - , - ," 3,656 ", - ," 3,656 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Tremain Chris ," 3,478 ", 428 ," 9,207 "," 2,631 "," 15,744 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Upston Louise ," 3,659 ", 395 ," 9,059 "," 14,348 "," 27,460 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Wagner Nicky ," 4,250 ", 543 ," 4,228 "," 5,844 "," 14,865 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Wilkinson Kate ," 2,226 ", 700 ," 6,515 "," 8,726 "," 18,167 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Williamson Maurice ," 3,546 ", - ," 5,236 "," 3,468 "," 12,250 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Woodhouse Michael , - , - , 967 , - , 967 , -   ,,,,,,,,,,,,,,,,,,,,,,,
, Yang Jian ," 3,200 ", 117 ," 4,192 "," 6,046 "," 13,556 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Young Jonathan ," 5,735 ", 374 ," 8,135 "," 6,351 "," 20,594 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
National Total,," 157,231 "," 15,321 "," 304,063 "," 267,424 "," 744,039 ","13,342 ",,,,,,,,,,,,,,,,,,,,,,,
New Zealand First,Martin Tracey," 3,757 ", 110 ," 7,314 "," 8,548 "," 19,728 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
,O'Rourke Denis," 4,803 ", 139 ," 3,741 "," 2,650 "," 11,333 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
,Peters Winston," 2,643 ", 278 ," 9,634 "," 7,723 "," 20,278 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
,Prosser Richard," 5,217 ", 852 ," 18,581 "," 6,667 "," 31,318 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
,Stewart Barbara," 4,035 ", - ," 7,155 "," 8,016 "," 19,205 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
,Lole-Taylor Asenati," 3,913 ", 139 ," 4,728 "," 4,959 "," 13,739 ","8,449 ",,,,,,,,,,,,,,,,,,,,,,,
,Williams Andrew," 2,226 ", 783 ," 7,099 "," 3,265 "," 13,373 ","8,755 ",,,,,,,,,,,,,,,,,,,,,,,
New Zealand First Total,," 26,594 "," 2,301 "," 58,251 "," 41,827 "," 128,973 ","17,204 ",,,,,,,,,,,,,,,,,,,,,,,
United Future, Dunne Peter , - , - ," 3,498 ", - ," 3,498 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
United Future Total,, - , - ," 3,498 ", - ," 3,498 ",,,,,,,,,,,,,,,,,,,,,,,,
Grand Total,," 350,625 "," 74,151 "," 898,603 "," 670,334 "," 1,993,713 ","32,541",,,,,,,,,,,,,,,,,,,,,,,
